Word				Count
telescopes				1
tell				32
telling				2
tells				2
temper				4
temper.				1
tempered				1
tempered.				1
ten				6
terms				1
terribly				1
terrier				1
terror.				1
than				24
thank				4
thanked				1
that				311
that.				4
thatched				1
the				1643
their				52
theirs				1
them				84
them.				4
themselves				2
themselves.				1
then				92
then.				2
there				97
there.				2
therefore				1
these				14
they				152
thick				1
thimble				4
thin				1
thing				48
thing.				1
things				31
think				52
think.				1
thinking				11
thirteen				1
this				133
this.				1
thistle				2
thoroughly				2
those				10
though				10
though.				1
thought				72
thought.				2
thoughtfully				2
thoughtfully.				2
thoughts				2
thousand				2
three				27
three.				1
threw				2
throat				2
throne				1
through				14
throw				3
throwing				2
thrown				1
thump				2
thunder				1
thunderstorm.				1
tide				1
tidy				1
tie				1
tied				1
tight				1
till				21
tillie				1
time				66
time.				5
times				6
timid				3
timidly				8
timidly.				1
tinkling				1
tiny				4
tipped				1
tiptoe				2
tired				7
tis				5
tittered				1
to				728
to.				1
toast				1
today.				1
toes				2
toes.				1
toffee				1
together				5
together.				4
told				6
tomorrow				1
tone				31
tone.				9
tones				2
tongue				4
too				25
too.				1
took				24
top				8
tops				1
tortoise				3
toss				1
tossing				3
touch				1
tougher				1
towards				1
toys				1
trampled				1
traps				1
tray				1
treacle				7
treading				2
treat.				1
treated				1
tree				6
tree.				2
trees				7
tremble.				1
trembled				2
trembling				6
tremulous				1
trial				9
trial.				1
trials				1
trickling				1
tricks				1
tried				18
tried.				1
trims				1
triumphantly				1
triumphantly.				1
trot				1
trotting				2
trouble				6
true				3
true.				1
trumpet				3
trusts				1
truth				1
truthful				1
try				12
trying				13
trying.				1
tucked				3
tulip				1
tumbled				1
tumbling				2
tunnel				1
tureen				1
turkey				1
turn				11
turned				16
turning				12
turns				3
turtle				49
turtle.				10
turtles				2
tut				2
twelfth				1
twelve				4
twentieth				1
twenty				3
twice				5
twinkle				8
twinkled				1
twinkling				4
twist				2
two				37
two.				3
ugh				2
uglification				2
uglify				1
uglifying				1
ugly				2
unable				1
uncivil.				1
uncomfortable				2
uncomfortable.				2
uncomfortably				1
uncommon				1
uncommonly				1
uncorked				1
under				16
underneath				1
understand				5
understand.				1
understood				1
undertone				2
undo				1
undoing				1
uneasily				2
uneasy				1
unfolded				2
unfortunate				3
unhappy				1
unhappy.				1
unimportant				4
unimportant.				1
unjust				1
unless				2
unlocking				1
unpleasant				2
unrolled				2
until				5
untwist				1
unusually				1
unwillingly				1
up				98
up.				2
upon				26
upright				1
upset				3
upsetting				1
upstairs				1
us				13
us.				1
use				18
used				13
useful				2
using				2
usual				3
usual.				2
usually				2
usurpation				1
v.				1
vague				1
vanished				3
vanished.				1
vanishing				1
variations.				1
various				1
ve				44
vegetable.				1
velvet				1
venture				3
ventured				4
verdict				4
verse				3
verse.				1
verses				3
verses.				1
very				144
vi.				1
vii.				1
viii.				1
vinegar				1
violence				1
violent				2
violently				4
visit				1
voice				38
voice.				10
voices				3
vote				1
vulgar				1
w.				1
wag				1
wags				1
waist				1
waistcoat				2
wait				1
waited				9
waited.				2
waiting				9
wake				2
walk				5
walked				10
walking				5
walrus				1
wander				1
wandered				2
wandering				2
want				9
wanted				4
wants				2
warning				1
was				356
was.				1
wash				2
washing				3
wasn				11
waste				1
wasting				2
watch				8
watched				2
watching				3
water				4
water.				1
waters				1
waving				5
way				53
way.				3
ways				1
we				34
weak				2
wearily.				1
week				3
weeks				1
welcome				1
well				60
well.				3
went				81
went.				2
wept				1
were				84
were.				1
weren				1
wet				2
what				141
whatever				3
when				79
whenever				1
where				14
where.				1
whereupon				1
wherever				2
whether				11
which				49
while				25
whiles.				1
whiskers				3
whisper				2
whisper.				1
whispered				5
whispers				1
whistle				1
whistling.				1
white				30
whiting				7
whiting.				1
who				63
whoever				1
whole				13
whom				1
whose				2
why				39
why.				1
wide				2
wider.				1
wife				1
wig				1
wig.				1
wild				2
wildly				2
will				33
william				8
win				1
wind				2
window				7
window.				1
wine				2
wings.				1
wink				2
winter				1
wise				2
wish				21
with				179
with.				2
within				2
without				26
witness				7
witness.				3
wits				1
woke				1
woman				2
won				26
wonder				18
wondered				1
wonderful				2
wondering				7
wonderland				3
wood				5
wood.				3
wooden				1
word				10
words				20
words.				1
wore				1
work				8
works				1
world				7
worm.				1
worried.				1
worry				1
worse				2
worse.				1
worth				4
would				83
wouldn				13
wow				6
wrapping				1
wretched				2
wriggling				1
write				6
writhing				1
writing				6
written				6
wrong				5
wrote				3
x.				1
xi.				1
xii.				1
yard				1
yards				1
yawned				2
yawning				1
yawning.				1
ye				1
year				2
years				1
yelled				1
yelp				1
yer				4
yes				13
yesterday				3
yet				23
yet.				2
you				408
you.				3
young				5
your				62
yours				2
yours.				1
yourself				8
yourself.				2
youth				6
zealand				1
zigzag				1
